,white_locals,black_locals,winner
1173,4,3,
1174,4,2,black
1175,5,4,white
1176,4,3,white
1177,3,5,
1178,1,5,white
1179,4,4,
1180,3,3,black
1181,5,4,black
1182,4,2,black
1183,4,5,white
1184,4,3,black
1185,2,3,white
1186,1,3,white
1187,4,5,black
1188,4,3,black
1189,4,2,black
1190,6,3,black
1191,5,3,black
1192,3,6,white
1193,2,4,white
1194,4,4,black
1195,4,5,white
1196,4,2,black
1197,4,4,black
1198,5,3,black
1199,4,4,white
1200,2,4,
1201,4,4,
1202,4,5,
1203,4,4,
1204,4,4,black
1205,3,1,black
1206,3,5,white
1207,5,2,black
1208,3,4,white
1209,5,2,black
1210,3,4,white
1211,5,3,black
1212,5,3,black
1213,2,3,white
1214,3,5,white
1215,5,3,black
1216,4,3,white
1217,3,3,white
1218,5,3,black
1219,4,4,white
1220,3,3,white
1221,4,4,
1222,3,2,black
1223,4,2,black
1224,5,2,black
1225,5,4,white
1226,5,4,black
1227,4,5,
1228,4,5,white
1229,4,3,
1230,4,3,black
1231,5,2,black
1232,1,3,white
1233,4,3,black
1234,2,5,white
1235,2,5,white
1236,4,4,white
1237,3,4,black
1238,3,5,white
1239,4,3,
1240,3,3,white
1241,4,3,black
1242,3,4,white
1243,1,4,white
1244,3,4,
1245,3,4,
1246,4,1,black
1247,4,4,
1248,4,5,white
1249,2,4,white
1250,3,4,white
1251,4,4,
1252,4,3,black
1253,2,3,white
1254,4,3,
1255,5,3,black
1256,3,3,white
1257,4,5,white
1258,3,5,white
1259,4,4,black
1260,3,6,white
1261,4,2,black
1262,5,3,black
1263,4,4,
1264,3,4,white
1265,4,5,
1266,4,1,black
1267,5,4,black
1268,4,4,white
1269,3,2,black
1270,4,3,white
1271,2,3,white
1272,3,4,white
1273,5,2,black
1274,3,4,black
1275,4,3,white
1276,4,3,black
1277,2,3,white
1278,3,5,white
1279,2,6,white
1280,5,3,black
1281,4,3,black
1282,3,4,
1283,4,4,
1284,2,4,white
1285,4,2,black
