,game_nr,ppo_color,winner
391,391,black (O),white (X)
392,392,white (X),
393,393,black (O),
394,394,white (X),white (X)
395,395,black (O),
396,396,white (X),white (X)
397,397,black (O),
398,398,white (X),white (X)
399,399,black (O),black (O)
400,400,white (X),white (X)
401,401,black (O),
402,402,white (X),white (X)
403,403,black (O),
404,404,white (X),white (X)
405,405,black (O),
406,406,white (X),white (X)
407,407,black (O),
408,408,white (X),black (O)
409,409,black (O),
410,410,white (X),white (X)
411,411,black (O),black (O)
412,412,white (X),white (X)
413,413,black (O),
414,414,white (X),
415,415,black (O),
416,416,white (X),white (X)
417,417,black (O),
418,418,white (X),
419,419,black (O),black (O)
420,420,white (X),white (X)
421,421,black (O),
422,422,white (X),white (X)
423,423,black (O),
424,424,white (X),
425,425,black (O),
426,426,white (X),
427,427,black (O),
428,428,white (X),white (X)
429,429,black (O),
430,430,white (X),
431,431,black (O),
432,432,white (X),white (X)
433,433,black (O),black (O)
434,434,white (X),white (X)
435,435,black (O),
436,436,white (X),black (O)
437,437,black (O),
438,438,white (X),white (X)
439,439,black (O),
440,440,white (X),
441,441,black (O),
442,442,white (X),
443,443,black (O),
444,444,white (X),white (X)
445,445,black (O),
446,446,white (X),
447,447,black (O),
448,448,white (X),
449,449,black (O),
450,450,white (X),
451,451,black (O),
452,452,white (X),white (X)
453,453,black (O),white (X)
454,454,white (X),
455,455,black (O),
456,456,white (X),white (X)
457,457,black (O),
458,458,white (X),white (X)
459,459,black (O),
460,460,white (X),white (X)
461,461,black (O),
462,462,white (X),
463,463,black (O),
464,464,white (X),
465,465,black (O),black (O)
466,466,white (X),
467,467,black (O),
468,468,white (X),
469,469,black (O),
470,470,white (X),
471,471,black (O),white (X)
472,472,white (X),white (X)
473,473,black (O),
474,474,white (X),white (X)
475,475,black (O),
476,476,white (X),white (X)
477,477,black (O),
478,478,white (X),
479,479,black (O),black (O)
480,480,white (X),white (X)
481,481,black (O),
482,482,white (X),
483,483,black (O),
484,484,white (X),white (X)
485,485,black (O),
486,486,white (X),
487,487,black (O),
488,488,white (X),white (X)
489,489,black (O),
490,490,white (X),
491,491,black (O),black (O)
492,492,white (X),white (X)
493,493,black (O),
494,494,white (X),
495,495,black (O),
496,496,white (X),
497,497,black (O),
498,498,white (X),white (X)
499,499,black (O),
500,500,white (X),white (X)
501,501,black (O),
502,502,white (X),
503,503,black (O),white (X)
504,504,white (X),white (X)
505,505,black (O),
506,506,white (X),white (X)
507,507,black (O),
508,508,white (X),white (X)
509,509,black (O),white (X)
510,510,white (X),
511,511,black (O),white (X)
512,512,white (X),white (X)
513,513,black (O),
514,514,white (X),white (X)
515,515,black (O),
516,516,white (X),white (X)
517,517,black (O),
518,518,white (X),white (X)
519,519,black (O),black (O)
520,520,white (X),
521,521,black (O),
522,522,white (X),white (X)
523,523,black (O),
524,524,white (X),
525,525,black (O),white (X)
526,526,white (X),black (O)
527,527,black (O),
528,528,white (X),
529,529,black (O),black (O)
530,530,white (X),white (X)
531,531,black (O),white (X)
532,532,white (X),black (O)
533,533,black (O),
534,534,white (X),white (X)
535,535,black (O),black (O)
536,536,white (X),white (X)
537,537,black (O),
538,538,white (X),white (X)
539,539,black (O),
540,540,white (X),white (X)
541,541,black (O),black (O)
542,542,white (X),white (X)
543,543,black (O),
544,544,white (X),white (X)
545,545,black (O),
546,546,white (X),
547,547,black (O),
548,548,white (X),white (X)
549,549,black (O),
550,550,white (X),white (X)
551,551,black (O),black (O)
552,552,white (X),white (X)
553,553,black (O),
554,554,white (X),
555,555,black (O),
556,556,white (X),
557,557,black (O),
558,558,white (X),
559,559,black (O),
560,560,white (X),white (X)
561,561,black (O),
562,562,white (X),white (X)
563,563,black (O),
564,564,white (X),
565,565,black (O),
566,566,white (X),white (X)
567,567,black (O),
568,568,white (X),
569,569,black (O),
570,570,white (X),white (X)
571,571,black (O),
572,572,white (X),white (X)
573,573,black (O),black (O)
574,574,white (X),
575,575,black (O),
576,576,white (X),
577,577,black (O),
578,578,white (X),white (X)
579,579,black (O),
580,580,white (X),white (X)
581,581,black (O),
582,582,white (X),white (X)
583,583,black (O),
584,584,white (X),white (X)
585,585,black (O),black (O)
586,586,white (X),
587,587,black (O),
588,588,white (X),white (X)
589,589,black (O),
590,590,white (X),white (X)
591,591,black (O),
592,592,white (X),white (X)
593,593,black (O),
594,594,white (X),
595,595,black (O),
596,596,white (X),
597,597,black (O),
598,598,white (X),
599,599,black (O),white (X)
600,600,white (X),
601,601,black (O),
602,602,white (X),white (X)
603,603,black (O),
604,604,white (X),white (X)
605,605,black (O),
606,606,white (X),white (X)
607,607,black (O),white (X)
608,608,white (X),black (O)
609,609,black (O),
610,610,white (X),
611,611,black (O),black (O)
612,612,white (X),
613,613,black (O),
614,614,white (X),black (O)
615,615,black (O),black (O)
616,616,white (X),white (X)
617,617,black (O),
618,618,white (X),
619,619,black (O),
620,620,white (X),white (X)
621,621,black (O),
622,622,white (X),white (X)
623,623,black (O),
624,624,white (X),white (X)
625,625,black (O),
626,626,white (X),white (X)
627,627,black (O),
628,628,white (X),white (X)
629,629,black (O),
630,630,white (X),
631,631,black (O),
632,632,white (X),white (X)
633,633,black (O),
634,634,white (X),
635,635,black (O),black (O)
636,636,white (X),white (X)
637,637,black (O),
638,638,white (X),white (X)
639,639,black (O),
640,640,white (X),
641,641,black (O),
642,642,white (X),white (X)
643,643,black (O),
644,644,white (X),white (X)
645,645,black (O),
646,646,white (X),
647,647,black (O),
648,648,white (X),
649,649,black (O),black (O)
650,650,white (X),
651,651,black (O),black (O)
652,652,white (X),white (X)
653,653,black (O),
654,654,white (X),
655,655,black (O),
656,656,white (X),white (X)
657,657,black (O),
658,658,white (X),white (X)
659,659,black (O),
660,660,white (X),white (X)
661,661,black (O),black (O)
662,662,white (X),
663,663,black (O),black (O)
664,664,white (X),white (X)
665,665,black (O),
666,666,white (X),
667,667,black (O),
668,668,white (X),white (X)
669,669,black (O),
670,670,white (X),
671,671,black (O),black (O)
672,672,white (X),
673,673,black (O),
674,674,white (X),white (X)
675,675,black (O),
676,676,white (X),
677,677,black (O),
678,678,white (X),
679,679,black (O),black (O)
680,680,white (X),
681,681,black (O),
682,682,white (X),white (X)
683,683,black (O),
684,684,white (X),white (X)
685,685,black (O),
686,686,white (X),white (X)
687,687,black (O),
688,688,white (X),white (X)
689,689,black (O),black (O)
690,690,white (X),white (X)
691,691,black (O),black (O)
692,692,white (X),
693,693,black (O),
694,694,white (X),
695,695,black (O),
696,696,white (X),white (X)
697,697,black (O),black (O)
698,698,white (X),
699,699,black (O),
700,700,white (X),white (X)
701,701,black (O),
702,702,white (X),
703,703,black (O),
704,704,white (X),
705,705,black (O),
706,706,white (X),
707,707,black (O),
708,708,white (X),
709,709,black (O),
710,710,white (X),white (X)
711,711,black (O),
712,712,white (X),white (X)
713,713,black (O),
714,714,white (X),white (X)
715,715,black (O),
716,716,white (X),
717,717,black (O),black (O)
718,718,white (X),
719,719,black (O),
720,720,white (X),
721,721,black (O),
722,722,white (X),
723,723,black (O),black (O)
724,724,white (X),white (X)
725,725,black (O),
726,726,white (X),
727,727,black (O),
728,728,white (X),
729,729,black (O),
730,730,white (X),white (X)
731,731,black (O),black (O)
732,732,white (X),white (X)
733,733,black (O),
734,734,white (X),
735,735,black (O),
736,736,white (X),white (X)
737,737,black (O),black (O)
738,738,white (X),
739,739,black (O),white (X)
740,740,white (X),white (X)
741,741,black (O),
742,742,white (X),
743,743,black (O),
744,744,white (X),white (X)
745,745,black (O),
746,746,white (X),white (X)
747,747,black (O),
748,748,white (X),
749,749,black (O),
750,750,white (X),
751,751,black (O),
752,752,white (X),white (X)
753,753,black (O),
754,754,white (X),white (X)
755,755,black (O),black (O)
756,756,white (X),
757,757,black (O),
758,758,white (X),
759,759,black (O),
760,760,white (X),
761,761,black (O),
762,762,white (X),
763,763,black (O),
764,764,white (X),white (X)
765,765,black (O),
766,766,white (X),white (X)
767,767,black (O),white (X)
768,768,white (X),
769,769,black (O),
770,770,white (X),white (X)
771,771,black (O),
772,772,white (X),white (X)
773,773,black (O),
774,774,white (X),
775,775,black (O),
776,776,white (X),white (X)
777,777,black (O),
778,778,white (X),
779,779,black (O),
780,780,white (X),white (X)
781,781,black (O),
782,782,white (X),white (X)
783,783,black (O),
784,784,white (X),
785,785,black (O),
786,786,white (X),
787,787,black (O),
788,788,white (X),
789,789,black (O),
790,790,white (X),
791,791,black (O),
792,792,white (X),
793,793,black (O),
794,794,white (X),
795,795,black (O),
796,796,white (X),white (X)
797,797,black (O),
798,798,white (X),white (X)
799,799,black (O),
800,800,white (X),white (X)
801,801,black (O),
802,802,white (X),
803,803,black (O),black (O)
804,804,white (X),white (X)
805,805,black (O),black (O)
806,806,white (X),
807,807,black (O),
808,808,white (X),white (X)
809,809,black (O),
810,810,white (X),black (O)
811,811,black (O),
812,812,white (X),white (X)
813,813,black (O),white (X)
814,814,white (X),black (O)
815,815,black (O),
816,816,white (X),white (X)
817,817,black (O),black (O)
818,818,white (X),white (X)
819,819,black (O),
820,820,white (X),white (X)
821,821,black (O),
822,822,white (X),white (X)
823,823,black (O),white (X)
824,824,white (X),white (X)
825,825,black (O),
826,826,white (X),
827,827,black (O),
828,828,white (X),
829,829,black (O),
830,830,white (X),white (X)
831,831,black (O),white (X)
832,832,white (X),white (X)
833,833,black (O),
834,834,white (X),
835,835,black (O),black (O)
836,836,white (X),white (X)
837,837,black (O),
838,838,white (X),white (X)
839,839,black (O),
840,840,white (X),white (X)
841,841,black (O),
842,842,white (X),white (X)
843,843,black (O),
844,844,white (X),white (X)
845,845,black (O),
846,846,white (X),
847,847,black (O),white (X)
848,848,white (X),
849,849,black (O),
850,850,white (X),white (X)
851,851,black (O),
852,852,white (X),white (X)
853,853,black (O),
854,854,white (X),white (X)
855,855,black (O),
856,856,white (X),
857,857,black (O),black (O)
858,858,white (X),white (X)
859,859,black (O),
860,860,white (X),
861,861,black (O),
862,862,white (X),white (X)
863,863,black (O),
864,864,white (X),white (X)
865,865,black (O),
866,866,white (X),white (X)
867,867,black (O),black (O)
868,868,white (X),white (X)
869,869,black (O),
870,870,white (X),
871,871,black (O),white (X)
872,872,white (X),
873,873,black (O),white (X)
874,874,white (X),white (X)
875,875,black (O),
876,876,white (X),
877,877,black (O),
878,878,white (X),
879,879,black (O),
880,880,white (X),
881,881,black (O),
882,882,white (X),white (X)
883,883,black (O),black (O)
884,884,white (X),
885,885,black (O),
886,886,white (X),white (X)
887,887,black (O),
888,888,white (X),white (X)
889,889,black (O),
890,890,white (X),white (X)
891,891,black (O),black (O)
892,892,white (X),white (X)
893,893,black (O),white (X)
894,894,white (X),white (X)
895,895,black (O),white (X)
896,896,white (X),white (X)
897,897,black (O),
898,898,white (X),white (X)
899,899,black (O),
900,900,white (X),white (X)
901,901,black (O),
902,902,white (X),white (X)
903,903,black (O),
904,904,white (X),
905,905,black (O),black (O)
906,906,white (X),white (X)
907,907,black (O),
908,908,white (X),
909,909,black (O),
910,910,white (X),white (X)
911,911,black (O),
912,912,white (X),white (X)
913,913,black (O),
914,914,white (X),
915,915,black (O),
916,916,white (X),white (X)
917,917,black (O),
918,918,white (X),
919,919,black (O),
920,920,white (X),white (X)
921,921,black (O),
922,922,white (X),
923,923,black (O),
924,924,white (X),white (X)
925,925,black (O),black (O)
926,926,white (X),
927,927,black (O),
928,928,white (X),white (X)
929,929,black (O),
930,930,white (X),
931,931,black (O),
932,932,white (X),
933,933,black (O),
934,934,white (X),
935,935,black (O),
936,936,white (X),
937,937,black (O),
938,938,white (X),
939,939,black (O),
940,940,white (X),white (X)
941,941,black (O),
942,942,white (X),white (X)
943,943,black (O),white (X)
944,944,white (X),black (O)
945,945,black (O),
946,946,white (X),white (X)
947,947,black (O),
948,948,white (X),white (X)
949,949,black (O),black (O)
950,950,white (X),
951,951,black (O),
952,952,white (X),white (X)
953,953,black (O),
954,954,white (X),
955,955,black (O),
956,956,white (X),white (X)
957,957,black (O),
958,958,white (X),white (X)
959,959,black (O),
960,960,white (X),white (X)
961,961,black (O),
962,962,white (X),white (X)
963,963,black (O),
964,964,white (X),white (X)
965,965,black (O),
966,966,white (X),white (X)
967,967,black (O),
968,968,white (X),white (X)
969,969,black (O),
970,970,white (X),white (X)
971,971,black (O),
972,972,white (X),
973,973,black (O),black (O)
974,974,white (X),white (X)
975,975,black (O),
976,976,white (X),white (X)
977,977,black (O),white (X)
978,978,white (X),
979,979,black (O),
980,980,white (X),white (X)
981,981,black (O),white (X)
982,982,white (X),white (X)
983,983,black (O),
984,984,white (X),white (X)
985,985,black (O),black (O)
986,986,white (X),white (X)
