,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
168,"(0, 0)","(0, 6)","(6, 3)","(3, 0)","(0, 3)","(3, 2)","(2, 7)","(7, 1)","(1, 3)","(3, 1)","(1, 6)","(6, 2)","(2, 0)","(0, 5)","(5, 1)","(1, 5)","(5, 6)","(6, 5)","(5, 0)","(0, 1)","(1, 2)","(2, 4)","(4, 5)","(5, 8)","(8, 6)","(6, 6)","(6, 7)","(7, 8)","(8, 4)","(4, 3)","(1, 0)","(0, 4)","(4, 8)","(8, 2)","(2, 6)","(6, 8)","(8, 8)","(8, 1)","(7, 7)","(7, 5)","(5, 2)","(2, 3)","(8, 0)","(0, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,"(1, 5)","(5, 6)","(6, 7)","(7, 8)","(8, 6)","(6, 1)","(1, 1)","(1, 3)","(3, 7)","(7, 3)","(3, 0)","(0, 4)","(4, 4)","(4, 3)","(3, 4)","(4, 8)","(8, 2)","(2, 0)","(0, 3)","(3, 1)","(1, 4)","(4, 6)","(6, 3)","(3, 8)","(8, 7)","(7, 2)","(2, 5)","(5, 2)","(2, 4)","(4, 2)","(2, 7)","(7, 6)","(6, 6)","(6, 5)","(5, 7)","(7, 5)","(5, 4)","(4, 7)","(8, 5)","(5, 0)","(0, 6)","(6, 2)","(2, 2)","(2, 6)","(6, 4)","(5, 1)","(1, 0)","(0, 8)","(8, 3)","(3, 2)","(2, 3)","(3, 5)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,"(5, 1)","(1, 5)","(5, 5)","(5, 8)","(8, 4)","(4, 4)","(4, 6)","(6, 7)","(7, 1)","(1, 1)","(1, 0)","(0, 7)","(7, 3)","(3, 5)","(5, 7)","(7, 7)","(7, 2)","(2, 5)","(5, 2)","(2, 3)","(3, 6)","(6, 3)","(3, 1)","(1, 4)","(4, 7)","(7, 8)","(8, 6)","(6, 1)","(1, 6)","(6, 8)","(8, 8)","(8, 3)","(3, 4)","(4, 2)","(2, 4)","(4, 0)","(0, 8)","(8, 0)","(0, 0)","(0, 6)","(6, 0)","(0, 2)","(2, 0)","(0, 5)","(5, 6)","(6, 4)","(4, 1)","(1, 2)","(2, 8)","(8, 7)","(7, 4)","(4, 3)","(3, 8)","(8, 1)","(1, 8)","(8, 5)","(5, 3)","(3, 0)","(0, 3)","(3, 3)","(3, 2)","(5, 4)","(4, 8)","(8, 2)","(7, 6)","(1, 3)","(5, 0)",,,,,,,,,,,,,,
171,"(0, 8)","(8, 8)","(8, 1)","(1, 8)","(8, 7)","(7, 4)","(4, 0)","(0, 3)","(3, 7)","(7, 5)","(5, 8)","(8, 4)","(4, 8)","(8, 3)","(3, 5)","(5, 7)","(7, 8)","(8, 6)","(6, 7)","(7, 0)","(0, 2)","(2, 5)","(5, 3)","(3, 8)","(8, 5)","(5, 4)","(4, 3)","(3, 1)","(1, 6)","(6, 4)","(4, 2)","(2, 4)","(4, 1)","(1, 3)","(3, 3)","(3, 0)","(0, 5)","(5, 6)","(6, 6)","(6, 2)","(2, 1)","(1, 0)","(7, 6)","(6, 0)","(7, 7)","(8, 0)","(3, 6)","(6, 3)","(3, 2)","(2, 3)","(3, 4)","(1, 4)","(5, 0)","(6, 1)","(5, 5)","(5, 1)",,,,,,,,,,,,,,,,,,,,,,,,,
172,"(5, 6)","(6, 2)","(2, 0)","(0, 3)","(3, 7)","(7, 5)","(5, 2)","(2, 5)","(5, 0)","(0, 2)","(2, 4)","(4, 2)","(2, 6)","(6, 1)","(1, 8)","(8, 1)","(1, 0)","(0, 0)","(0, 1)","(1, 1)","(1, 6)","(6, 3)","(3, 6)","(6, 0)","(0, 4)","(4, 3)","(3, 0)","(0, 5)","(5, 7)","(7, 0)","(0, 8)","(8, 8)","(8, 3)","(3, 8)","(8, 0)","(0, 6)","(1, 3)","(3, 3)","(3, 1)","(5, 5)","(5, 8)","(8, 5)","(7, 6)","(3, 2)","(2, 2)","(4, 7)","(7, 1)","(3, 4)","(4, 5)","(4, 1)","(4, 4)","(4, 8)","(8, 7)","(7, 3)","(3, 5)","(8, 6)","(4, 6)","(7, 2)","(8, 2)","(7, 7)","(7, 8)","(8, 4)","(4, 0)","(7, 4)",,,,,,,,,,,,,,,,,
173,"(8, 3)","(3, 4)","(4, 1)","(1, 1)","(1, 4)","(4, 7)","(7, 7)","(7, 4)","(4, 4)","(4, 2)","(2, 1)","(1, 3)","(3, 8)","(8, 7)","(7, 2)","(2, 5)","(5, 0)","(0, 1)","(1, 5)","(5, 4)","(4, 3)","(3, 7)","(7, 8)","(8, 5)","(5, 2)","(2, 2)","(2, 6)","(6, 0)","(0, 0)","(0, 2)","(2, 4)","(4, 5)","(5, 6)","(6, 2)","(2, 7)","(7, 0)","(0, 3)","(3, 2)","(0, 6)","(6, 7)","(7, 6)","(6, 6)","(6, 3)","(3, 3)","(3, 1)","(1, 6)","(6, 4)","(4, 6)","(6, 8)","(8, 4)","(4, 8)","(8, 0)","(8, 1)","(1, 2)","(8, 8)","(8, 6)","(6, 1)","(1, 7)","(4, 0)","(3, 5)","(5, 7)","(1, 8)","(8, 2)","(6, 5)","(5, 5)","(5, 3)","(5, 1)",,,,,,,,,,,,,,
174,"(5, 0)","(0, 6)","(6, 6)","(6, 2)","(2, 2)","(2, 0)","(0, 3)","(3, 3)","(3, 2)","(2, 4)","(4, 0)","(0, 1)","(1, 6)","(6, 7)","(7, 3)","(3, 4)","(4, 1)","(1, 1)","(1, 0)","(0, 2)","(2, 5)","(5, 5)","(5, 2)","(2, 3)","(3, 8)","(8, 2)","(2, 6)","(6, 5)","(5, 7)","(7, 7)","(7, 1)","(1, 3)","(3, 6)","(6, 8)","(8, 3)","(3, 7)","(7, 4)","(4, 7)","(7, 2)","(2, 7)","(7, 5)","(5, 8)","(8, 5)","(5, 6)","(8, 4)","(4, 2)","(2, 1)","(1, 2)","(2, 8)","(5, 1)","(1, 7)","(0, 7)","(3, 0)","(0, 4)","(4, 5)","(5, 4)","(4, 3)","(3, 1)",,,,,,,,,,,,,,,,,,,,,,,
175,"(3, 4)","(4, 1)","(1, 3)","(3, 3)","(3, 0)","(0, 6)","(6, 0)","(0, 5)","(5, 5)","(5, 3)","(3, 8)","(8, 8)","(8, 1)","(1, 8)","(8, 4)","(4, 0)","(0, 8)","(8, 2)","(2, 4)","(4, 2)","(2, 3)","(0, 2)","(2, 1)","(1, 2)","(2, 2)","(2, 5)","(5, 0)","(0, 3)","(7, 7)","(7, 3)","(1, 7)","(7, 0)","(0, 4)","(2, 0)","(0, 7)","(7, 2)","(2, 6)","(6, 8)","(8, 3)","(6, 3)","(6, 7)","(7, 8)","(8, 5)","(5, 8)","(1, 0)","(0, 0)","(7, 5)","(5, 1)","(1, 4)","(6, 6)","(6, 4)","(5, 2)","(1, 6)","(6, 5)","(5, 4)","(5, 6)","(6, 2)","(7, 1)","(6, 1)","(5, 7)",,,,,,,,,,,,,,,,,,,,,
176,"(3, 6)","(6, 1)","(1, 3)","(3, 0)","(0, 8)","(8, 0)","(0, 1)","(1, 6)","(6, 3)","(3, 5)","(5, 4)","(4, 4)","(4, 1)","(1, 5)","(5, 5)","(5, 6)","(6, 7)","(7, 7)","(7, 2)","(2, 7)","(7, 6)","(6, 4)","(4, 5)","(5, 8)","(8, 1)","(1, 7)","(7, 5)","(5, 1)","(1, 8)","(8, 2)","(2, 1)","(1, 0)","(0, 0)","(0, 7)","(7, 8)","(8, 3)","(3, 3)","(3, 1)","(1, 1)","(1, 2)","(2, 2)","(2, 0)","(0, 4)","(4, 2)","(2, 8)","(8, 5)","(5, 0)","(2, 5)","(5, 2)","(2, 4)","(4, 8)","(8, 6)","(6, 2)","(2, 3)","(3, 2)","(6, 8)","(6, 6)","(6, 5)","(5, 7)","(4, 3)","(3, 8)","(1, 4)","(4, 0)","(4, 6)","(6, 0)","(3, 4)","(5, 3)","(3, 7)",,,,,,,,,,,,,
177,"(4, 8)","(8, 5)","(5, 3)","(3, 4)","(4, 3)","(3, 1)","(1, 6)","(6, 1)","(1, 5)","(5, 0)","(0, 6)","(6, 2)","(2, 5)","(5, 8)","(8, 0)","(0, 8)","(8, 8)","(8, 3)","(3, 2)","(2, 2)","(2, 6)","(6, 4)","(4, 7)","(7, 0)","(0, 3)","(3, 0)","(0, 5)","(5, 6)","(6, 6)","(6, 8)","(8, 6)","(6, 7)","(7, 8)","(8, 1)","(1, 2)","(2, 1)","(1, 8)","(8, 7)","(7, 6)","(2, 0)","(0, 7)","(7, 1)","(7, 4)","(4, 5)","(5, 4)","(4, 4)","(4, 2)","(3, 3)","(3, 8)","(8, 4)","(4, 0)","(0, 1)","(5, 2)","(3, 6)","(5, 5)","(7, 7)","(7, 2)","(4, 6)","(0, 2)","(0, 0)","(0, 4)","(4, 1)",,,,,,,,,,,,,,,,,,,
178,"(0, 5)","(5, 4)","(4, 5)","(5, 7)","(7, 8)","(8, 0)","(0, 4)","(4, 0)","(0, 1)","(1, 5)","(5, 0)","(0, 6)","(6, 3)","(3, 1)","(1, 0)","(0, 3)","(3, 0)","(0, 8)","(8, 6)","(6, 5)","(5, 8)","(8, 7)","(7, 0)","(0, 7)","(7, 7)","(7, 2)","(2, 1)","(1, 8)","(8, 4)","(4, 1)","(1, 6)","(6, 2)","(2, 6)","(6, 8)","(8, 8)","(8, 2)","(2, 3)","(3, 4)","(4, 2)","(2, 7)","(7, 5)","(5, 2)","(2, 2)","(2, 8)","(8, 5)","(5, 5)","(5, 1)","(1, 3)","(3, 6)","(7, 1)","(1, 7)","(7, 4)","(4, 4)","(4, 3)","(3, 5)","(5, 3)","(3, 3)","(8, 3)","(2, 0)","(1, 2)","(4, 6)","(7, 3)","(7, 6)","(8, 1)",,,,,,,,,,,,,,,,,
179,"(7, 8)","(8, 6)","(6, 8)","(8, 3)","(3, 6)","(6, 0)","(0, 6)","(6, 7)","(7, 3)","(3, 2)","(2, 5)","(5, 5)","(5, 0)","(0, 5)","(5, 6)","(6, 5)","(5, 4)","(4, 4)","(4, 1)","(1, 4)","(4, 7)","(7, 4)","(4, 3)","(3, 1)","(1, 0)","(0, 7)","(7, 0)","(0, 8)","(8, 4)","(4, 0)","(0, 3)","(3, 8)","(8, 1)","(1, 2)","(2, 2)","(2, 4)","(4, 2)","(2, 6)","(6, 1)","(1, 7)","(7, 1)","(1, 5)","(5, 1)","(1, 1)","(6, 4)","(4, 6)","(6, 2)","(2, 3)","(3, 5)","(5, 2)","(2, 7)","(7, 5)","(5, 7)","(7, 7)","(7, 2)","(2, 1)","(3, 4)","(4, 5)","(6, 6)","(3, 3)","(3, 7)","(3, 0)","(0, 2)","(2, 0)","(0, 1)","(0, 4)","(4, 8)","(8, 8)","(8, 2)","(8, 7)","(0, 0)",,,,,,,,,,
180,"(0, 5)","(5, 4)","(4, 6)","(6, 3)","(3, 8)","(8, 2)","(2, 2)","(2, 4)","(4, 5)","(5, 2)","(2, 7)","(7, 6)","(6, 4)","(4, 3)","(3, 5)","(5, 1)","(1, 7)","(7, 2)","(2, 1)","(1, 0)","(0, 6)","(6, 6)","(6, 8)","(8, 3)","(3, 6)","(6, 5)","(5, 3)","(3, 1)","(1, 4)","(4, 8)","(8, 0)","(0, 4)","(4, 4)","(4, 7)","(7, 8)","(8, 8)","(8, 4)","(4, 1)","(1, 2)","(2, 0)","(0, 2)","(2, 3)","(3, 4)","(4, 2)","(2, 5)","(5, 8)","(8, 1)","(1, 1)","(1, 3)","(3, 7)","(7, 1)","(1, 8)","(8, 7)","(7, 5)","(5, 0)","(0, 8)","(1, 5)","(5, 7)","(7, 0)","(0, 7)","(7, 7)","(7, 3)","(3, 3)","(4, 0)","(0, 1)","(2, 6)","(6, 0)","(0, 3)","(0, 0)",,,,,,,,,,,,
181,"(6, 1)","(1, 0)","(0, 2)","(2, 5)","(5, 0)","(0, 7)","(7, 4)","(4, 1)","(1, 5)","(5, 4)","(4, 2)","(2, 3)","(3, 8)","(8, 0)","(0, 0)","(0, 4)","(4, 4)","(4, 5)","(5, 5)","(5, 6)","(6, 6)","(6, 5)","(5, 3)","(3, 3)","(3, 5)","(5, 1)","(1, 3)","(3, 0)","(0, 6)","(6, 0)","(0, 3)","(3, 6)","(6, 3)","(7, 0)","(4, 3)","(4, 0)","(1, 6)","(6, 4)","(4, 6)","(6, 2)","(2, 6)","(6, 8)","(8, 4)","(7, 5)","(5, 7)","(7, 8)","(8, 5)","(5, 8)","(8, 7)","(7, 1)","(1, 7)","(7, 6)","(1, 8)","(8, 1)","(2, 4)","(2, 0)","(2, 1)","(8, 2)","(2, 7)",,,,,,,,,,,,,,,,,,,,,,
182,"(1, 6)","(6, 4)","(4, 0)","(0, 7)","(7, 0)","(0, 8)","(8, 5)","(5, 2)","(2, 2)","(2, 0)","(0, 4)","(4, 5)","(5, 6)","(6, 7)","(7, 2)","(2, 6)","(6, 8)","(8, 4)","(4, 7)","(7, 3)","(3, 8)","(8, 6)","(6, 3)","(3, 1)","(1, 8)","(8, 3)","(3, 5)","(5, 1)","(1, 1)","(1, 3)","(3, 7)","(7, 7)","(7, 8)","(8, 7)","(7, 4)","(4, 4)","(4, 2)","(2, 8)","(8, 8)","(8, 0)","(0, 2)","(2, 7)","(0, 1)","(1, 5)","(5, 5)","(5, 3)","(3, 3)","(3, 0)","(0, 3)","(3, 6)","(6, 2)","(1, 7)","(1, 2)","(5, 4)","(4, 3)","(3, 4)","(4, 1)","(1, 0)","(0, 0)","(6, 5)","(5, 8)","(6, 0)","(5, 0)","(3, 2)","(5, 7)","(1, 4)","(6, 6)","(6, 1)",,,,,,,,,,,,,
183,"(3, 4)","(4, 0)","(0, 6)","(6, 3)","(3, 5)","(5, 1)","(1, 4)","(4, 3)","(3, 2)","(2, 7)","(7, 2)","(2, 0)","(0, 0)","(0, 7)","(7, 1)","(1, 8)","(8, 3)","(3, 8)","(8, 1)","(1, 7)","(7, 3)","(3, 0)","(0, 4)","(4, 6)","(6, 4)","(2, 6)","(6, 5)","(5, 2)","(2, 3)","(3, 6)","(6, 8)","(8, 0)","(0, 5)","(5, 5)","(5, 7)","(7, 8)","(8, 6)","(6, 2)","(2, 5)","(5, 4)","(5, 3)","(3, 1)","(1, 3)","(3, 3)","(1, 2)","(2, 4)","(5, 8)","(8, 8)","(8, 7)","(7, 4)","(0, 8)","(8, 4)","(6, 1)","(1, 5)","(5, 0)","(6, 6)","(6, 7)","(7, 7)","(7, 0)","(2, 1)","(1, 6)","(5, 6)",,,,,,,,,,,,,,,,,,,
184,"(3, 1)","(1, 8)","(8, 1)","(1, 7)","(7, 3)","(3, 6)","(6, 3)","(3, 7)","(7, 2)","(2, 7)","(7, 4)","(4, 0)","(0, 3)","(3, 8)","(8, 8)","(8, 4)","(4, 5)","(5, 2)","(2, 6)","(6, 8)","(8, 2)","(2, 5)","(5, 8)","(8, 3)","(8, 7)","(7, 1)","(1, 3)","(1, 5)","(5, 1)","(1, 0)","(0, 2)","(2, 1)","(1, 1)","(1, 2)","(2, 0)","(0, 4)","(4, 6)","(6, 5)","(5, 0)","(0, 8)","(8, 0)","(0, 0)","(2, 3)","(6, 0)","(6, 4)","(4, 8)","(5, 6)","(6, 1)","(6, 2)","(4, 2)","(7, 7)","(7, 6)","(6, 6)","(4, 7)","(7, 0)","(7, 5)","(5, 5)","(5, 3)","(4, 1)","(5, 4)","(4, 3)","(5, 7)","(7, 8)",,,,,,,,,,,,,,,,,,
185,"(4, 8)","(8, 3)","(3, 5)","(5, 2)","(2, 5)","(5, 1)","(1, 6)","(6, 5)","(5, 8)","(8, 8)","(8, 7)","(7, 0)","(0, 2)","(2, 1)","(1, 2)","(2, 8)","(8, 2)","(2, 4)","(4, 6)","(6, 8)","(8, 5)","(5, 3)","(3, 1)","(1, 3)","(3, 4)","(4, 5)","(5, 0)","(0, 0)","(0, 6)","(6, 0)","(0, 8)","(8, 1)","(1, 7)","(7, 3)","(3, 6)","(6, 7)","(7, 5)","(5, 5)","(5, 7)","(7, 7)","(7, 1)","(1, 8)","(8, 0)","(0, 7)","(7, 2)","(2, 7)","(7, 8)","(8, 4)","(4, 0)","(0, 4)","(4, 1)","(1, 5)","(5, 6)","(6, 6)","(1, 1)","(1, 4)","(4, 7)","(3, 7)","(3, 0)","(0, 3)","(3, 8)",,,,,,,,,,,,,,,,,,,,
186,"(6, 1)","(1, 8)","(8, 7)","(7, 5)","(5, 0)","(0, 2)","(2, 7)","(7, 3)","(3, 6)","(6, 2)","(2, 3)","(3, 1)","(1, 4)","(4, 2)","(2, 1)","(1, 0)","(0, 5)","(5, 5)","(5, 4)","(4, 0)","(0, 3)","(3, 2)","(2, 6)","(6, 4)","(4, 1)","(1, 3)","(3, 5)","(5, 7)","(7, 7)","(7, 6)","(6, 3)","(3, 8)","(8, 0)","(0, 8)","(8, 3)","(3, 0)","(0, 1)","(1, 1)","(1, 5)","(5, 8)","(8, 5)","(5, 1)","(1, 6)","(6, 0)","(0, 0)","(0, 4)","(4, 4)","(4, 5)","(5, 6)","(6, 6)","(8, 2)","(2, 8)","(8, 8)","(0, 7)","(7, 8)","(4, 3)","(1, 7)","(7, 0)","(0, 6)","(4, 7)","(5, 2)","(2, 2)","(2, 0)",,,,,,,,,,,,,,,,,,
187,"(4, 4)","(4, 5)","(5, 6)","(6, 2)","(2, 4)","(4, 0)","(0, 5)","(5, 4)","(4, 1)","(1, 7)","(7, 7)","(7, 0)","(0, 2)","(2, 0)","(0, 0)","(0, 6)","(6, 6)","(6, 0)","(0, 7)","(7, 5)","(5, 8)","(8, 2)","(2, 7)","(7, 6)","(6, 4)","(4, 2)","(2, 8)","(8, 3)","(3, 3)","(3, 4)","(4, 3)","(3, 2)","(2, 1)","(1, 6)","(6, 5)","(5, 7)","(7, 3)","(3, 0)","(0, 3)","(3, 7)","(7, 1)","(1, 3)","(3, 1)","(1, 8)","(8, 1)","(7, 2)","(8, 7)","(7, 8)","(8, 8)","(8, 4)","(4, 8)","(8, 5)","(5, 3)","(3, 6)","(6, 7)","(6, 8)","(0, 8)","(5, 2)","(6, 3)","(5, 1)","(4, 6)","(4, 7)",,,,,,,,,,,,,,,,,,,
188,"(0, 5)","(5, 5)","(5, 0)","(0, 7)","(7, 1)","(1, 4)","(4, 5)","(5, 8)","(8, 3)","(3, 1)","(1, 6)","(6, 8)","(8, 7)","(7, 7)","(7, 0)","(0, 2)","(2, 4)","(4, 1)","(1, 5)","(5, 6)","(6, 3)","(3, 3)","(3, 5)","(5, 1)","(1, 7)","(7, 6)","(6, 2)","(2, 5)","(5, 3)","(3, 6)","(6, 1)","(1, 2)","(2, 2)","(2, 3)","(3, 7)","(7, 8)","(8, 4)","(4, 2)","(2, 6)","(6, 5)","(5, 4)","(4, 4)","(4, 0)","(0, 6)","(6, 7)","(5, 2)","(0, 8)","(8, 5)","(4, 7)","(3, 0)","(0, 3)","(0, 4)","(4, 6)","(6, 4)","(4, 3)","(8, 2)","(1, 3)","(8, 0)","(6, 0)",,,,,,,,,,,,,,,,,,,,,,
189,"(0, 7)","(7, 5)","(5, 7)","(7, 6)","(6, 7)","(7, 7)","(7, 0)","(0, 0)","(0, 2)","(2, 2)","(2, 7)","(7, 3)","(3, 1)","(1, 4)","(4, 2)","(2, 4)","(4, 4)","(4, 7)","(7, 1)","(1, 6)","(6, 6)","(6, 5)","(5, 1)","(1, 5)","(5, 2)","(2, 5)","(5, 6)","(6, 0)","(0, 4)","(4, 5)","(5, 3)","(3, 8)","(8, 6)","(6, 4)","(4, 6)","(6, 3)","(3, 5)","(5, 5)","(5, 8)","(8, 5)","(8, 8)","(8, 3)","(3, 4)","(1, 1)","(1, 3)","(3, 2)","(2, 6)","(3, 3)","(3, 6)","(8, 0)","(0, 6)","(2, 8)","(8, 4)","(7, 8)","(8, 7)",,,,,,,,,,,,,,,,,,,,,,,,,,
190,"(0, 7)","(7, 7)","(7, 1)","(1, 1)","(1, 7)","(7, 5)","(5, 3)","(3, 2)","(2, 8)","(8, 4)","(4, 1)","(1, 4)","(4, 6)","(6, 4)","(4, 8)","(8, 3)","(3, 5)","(5, 7)","(7, 3)","(3, 8)","(8, 8)","(8, 2)","(2, 4)","(4, 2)","(2, 7)","(7, 0)","(0, 1)","(1, 0)","(0, 2)","(2, 1)","(1, 5)","(5, 8)","(8, 0)","(0, 3)","(3, 6)","(6, 0)","(0, 0)","(1, 8)","(8, 7)","(7, 6)","(6, 7)","(7, 2)","(2, 5)","(5, 4)","(4, 7)","(7, 4)","(5, 6)","(6, 2)","(2, 2)","(6, 6)","(8, 1)","(5, 0)","(3, 4)","(3, 0)","(3, 7)","(3, 1)","(8, 5)","(8, 6)",,,,,,,,,,,,,,,,,,,,,,,
191,"(5, 7)","(7, 4)","(4, 4)","(4, 8)","(8, 8)","(8, 6)","(6, 3)","(3, 6)","(6, 2)","(2, 1)","(1, 7)","(7, 0)","(0, 3)","(3, 1)","(1, 6)","(6, 7)","(7, 8)","(8, 3)","(3, 8)","(8, 0)","(0, 1)","(1, 3)","(3, 2)","(2, 8)","(4, 6)","(6, 5)","(5, 8)","(4, 1)","(1, 4)","(4, 0)","(0, 2)","(2, 6)","(6, 6)","(6, 4)","(4, 3)","(3, 4)","(4, 5)","(5, 2)","(2, 5)","(5, 4)","(7, 6)","(6, 1)","(1, 5)","(5, 1)","(1, 2)","(2, 4)","(0, 5)","(5, 6)","(7, 5)","(7, 3)","(3, 5)","(2, 7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,"(5, 5)","(5, 7)","(7, 1)","(1, 1)","(1, 4)","(4, 5)","(5, 2)","(2, 7)","(7, 5)","(5, 1)","(1, 5)","(5, 0)","(0, 5)","(5, 3)","(3, 7)","(7, 2)","(2, 2)","(2, 1)","(1, 0)","(0, 3)","(3, 0)","(0, 7)","(7, 3)","(3, 1)","(1, 8)","(8, 2)","(2, 6)","(6, 0)","(0, 0)","(0, 4)","(4, 2)","(2, 0)","(0, 6)","(6, 3)","(3, 5)","(5, 4)","(4, 7)","(7, 8)","(8, 0)","(0, 2)","(2, 8)","(8, 8)","(8, 5)","(3, 4)","(4, 1)","(8, 4)","(4, 3)","(3, 8)","(8, 3)","(3, 3)","(3, 6)","(6, 4)","(4, 8)","(8, 7)","(7, 4)","(4, 4)","(4, 6)",,,,,,,,,,,,,,,,,,,,,,,,
193,"(3, 0)","(0, 0)","(0, 4)","(4, 8)","(8, 6)","(6, 7)","(7, 3)","(3, 6)","(6, 5)","(5, 4)","(4, 7)","(7, 6)","(6, 2)","(2, 7)","(7, 8)","(8, 4)","(4, 5)","(5, 8)","(8, 0)","(0, 6)","(6, 1)","(1, 8)","(8, 7)","(7, 4)","(4, 4)","(4, 0)","(0, 2)","(2, 8)","(8, 5)","(5, 6)","(6, 8)","(8, 1)","(1, 6)","(2, 5)","(5, 0)","(0, 1)","(1, 2)","(2, 0)","(0, 3)","(3, 1)","(1, 5)","(5, 3)","(3, 2)","(2, 2)","(0, 5)","(5, 1)","(1, 1)","(1, 3)","(3, 8)","(8, 3)","(3, 4)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"(3, 6)","(6, 4)","(4, 1)","(1, 3)","(3, 5)","(5, 6)","(6, 5)","(5, 2)","(2, 3)","(3, 0)","(0, 8)","(8, 2)","(2, 8)","(8, 5)","(5, 4)","(4, 6)","(6, 7)","(7, 7)","(7, 0)","(0, 4)","(4, 7)","(7, 2)","(2, 0)","(0, 2)","(2, 1)","(1, 4)","(4, 3)","(3, 4)","(4, 8)","(8, 8)","(2, 4)","(4, 5)","(5, 3)","(3, 1)","(1, 0)","(0, 5)","(5, 7)","(7, 6)","(6, 8)","(1, 5)","(5, 5)","(7, 4)","(4, 4)","(3, 3)","(3, 8)","(6, 6)","(6, 0)","(0, 0)","(0, 6)","(6, 3)","(3, 7)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,"(1, 8)","(8, 6)","(6, 0)","(0, 2)","(2, 7)","(7, 7)","(7, 4)","(4, 6)","(6, 1)","(1, 5)","(5, 5)","(5, 1)","(1, 4)","(4, 3)","(3, 2)","(2, 1)","(1, 6)","(6, 5)","(5, 3)","(3, 3)","(3, 0)","(0, 5)","(5, 7)","(7, 1)","(1, 2)","(2, 4)","(4, 4)","(4, 7)","(7, 0)","(0, 7)","(7, 3)","(3, 4)","(4, 0)","(0, 8)","(8, 0)","(5, 6)","(6, 6)","(6, 2)","(2, 0)","(8, 3)","(3, 6)","(6, 7)","(7, 6)","(6, 4)","(4, 5)","(5, 4)","(4, 1)","(3, 5)","(5, 8)","(8, 4)","(4, 2)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,"(0, 4)","(4, 3)","(3, 8)","(8, 7)","(7, 4)","(4, 7)","(7, 3)","(3, 1)","(1, 4)","(4, 0)","(0, 7)","(7, 5)","(5, 6)","(6, 7)","(7, 7)","(7, 0)","(0, 5)","(5, 7)","(7, 8)","(8, 0)","(0, 1)","(1, 7)","(7, 1)","(1, 5)","(5, 3)","(3, 4)","(4, 6)","(6, 3)","(3, 5)","(5, 1)","(1, 1)","(1, 8)","(8, 4)","(4, 5)","(5, 0)","(8, 5)","(4, 8)","(8, 6)","(6, 5)","(8, 3)","(3, 2)","(2, 0)","(2, 2)","(2, 5)","(6, 4)","(4, 4)","(6, 6)","(6, 0)","(1, 6)","(6, 1)","(1, 0)","(1, 2)","(2, 7)","(2, 3)","(2, 4)","(2, 8)","(2, 1)","(6, 2)",,,,,,,,,,,,,,,,,,,,,,,
197,"(0, 7)","(7, 8)","(8, 6)","(6, 1)","(1, 3)","(3, 1)","(1, 8)","(8, 7)","(7, 1)","(1, 4)","(4, 0)","(0, 3)","(3, 5)","(5, 3)","(3, 4)","(4, 7)","(7, 6)","(6, 8)","(8, 2)","(2, 3)","(3, 8)","(8, 4)","(4, 2)","(2, 4)","(4, 8)","(8, 8)","(8, 1)","(1, 2)","(2, 6)","(6, 7)","(7, 7)","(7, 0)","(0, 2)","(2, 5)","(5, 0)","(0, 6)","(6, 5)","(5, 8)","(8, 3)","(3, 3)","(3, 6)","(6, 0)","(0, 4)","(4, 6)","(6, 6)","(6, 4)","(4, 5)","(5, 6)","(5, 1)","(1, 6)","(3, 7)","(7, 5)","(5, 7)","(7, 3)","(0, 8)","(8, 5)","(5, 5)","(5, 2)","(7, 2)","(5, 4)","(8, 0)","(0, 5)","(0, 0)",,,,,,,,,,,,,,,,,,
198,"(4, 5)","(5, 1)","(1, 5)","(5, 6)","(6, 6)","(6, 1)","(1, 0)","(0, 0)","(0, 7)","(7, 5)","(5, 2)","(2, 6)","(6, 3)","(3, 3)","(3, 1)","(1, 2)","(2, 8)","(8, 4)","(4, 2)","(2, 7)","(7, 0)","(0, 5)","(5, 4)","(4, 4)","(4, 7)","(7, 4)","(4, 8)","(8, 8)","(8, 0)","(0, 2)","(2, 2)","(2, 0)","(0, 8)","(8, 7)","(7, 7)","(7, 2)","(2, 1)","(1, 3)","(3, 7)","(7, 8)","(8, 3)","(3, 0)","(0, 3)","(3, 6)","(6, 5)","(5, 7)","(5, 8)","(8, 5)","(5, 5)","(1, 4)","(2, 3)","(6, 2)","(2, 4)","(2, 5)","(8, 2)","(1, 6)","(6, 8)","(8, 6)","(6, 7)","(0, 1)",,,,,,,,,,,,,,,,,,,,,
